Sonnet Number,Variation Number,Variation Text
36,1,"Confess, you and I are twain,
Two souls entwined by love's sweet chain;
Our shared affection's single strain,
Despite life's gulf, remains untamed.

Two hearts in love's embrace, yet part,
One respect, yet separate plight;
Divided, steal the sweetest art,
From love's delight, out of sight.

I cannot claim our love confessed,
Lest guilt's dark shadow mar thy name;
Nor canst thou grace me with thy zest,
Unless thou robs thy honor's claim.

Preserve thy name, I beg, for love,
As thine, so is my spirit's dove.

"
36,2,"Acknowledge, we must bear the mark,
Of separate souls, yet love the same;
Our spirits share a single spark,
Amid life's storm, they remain aflame.

Two bodies, one in love entwined,
Yet separate, life's cruel jest;
In love, one heart, one mind,
Apart, we suffer love's unrest.

I cannot claim our love combined,
Lest guilt's dark veil obscures thy light;
Nor canst thou share in love's design,
Unless you cast away its blight.

Let love's pure name remain unstained,
In love, our honor is maintained.

"
36,3,"Recognize, our souls are two,
Yet one in love's eternal fire;
Two flames may dance, but share one hue,
Despite the distance, they aspire.

Two hearts in love's sweet symphony,
Divided, yet together beat;
In love, one song, one melody,
Apart, life's bitter, love's retreat.

I cannot claim our love embraced,
Lest guilt's dark wings obscure thy grace;
Nor canst thou share in love's sweet chase,
Unless you leave its disgrace.

In love, our names in harmony,
Two souls, one love's sweet legacy."
37,1,"As a wizened sire finds joy in his child's might,
Delighting in their energy and feats of youth,
So I, by fortune's dearest plight made lame,
Find solace in your worth and veritable truth.

For whether beauty, birth, or riches adorn,
Or wisdom graces you, or all combined,
In your being, I find love reborn,
Engrafted to this treasure I find signed.

So then, I stand not lame nor poor, nor slighted,
While this reflection grants such substance bright,
In your abundance, I am amply lighted,
And by a piece of all your splendor alight.

Seek what is best, that best I wish for thee,
This wish I hold, then tenfold blessed am I.

"
37,2,"Like a weathered sage who gazes at his scion's might,
Finding joy in youthful acts and strength reborn,
So I, by fate's dearest spite made frail and lame,
Discover solace in your worth, your truth well-known.

For if it's beauty, birth, or wealth that graces thee,
Or wit adorns your brow, or all combined,
In your essence, love's new life I see,
Engrafted to this wealth, I find it signed.

Thus, I am not lame nor poor, nor cast aside,
While this reflection grants such substance gleaming,
In your abundance, I find pride,
And by a fragment of your glory, I am beaming.

Choose what is best, that best I wish for thee,
This wish I hold, then tenfold blest I be.

"
37,3,"As a seasoned elder finds delight in a youngster's might,
Reveling in their youthful exploits and verve,
So I, by destiny's dearest spite made weak and lame,
Gather comfort from your worth, your truth I serve.

For if it's beauty, birth, or riches that adorn,
Or wisdom graces you, or all combined,
In your very being, love transforms,
Engrafted to this treasure, I find it signed.

So then, I stand not lame, nor poor, nor cast away,
While this reflection grants such substance glowing,
In your abundance, I find my way,
And by a fragment of your glory, I am growing.

Select what is best, that best I wish for thee,
This wish I hold, then tenfold blessed am I."
38,1,"How can my inspiration seek a theme
When you infuse each line with living breath?
Your matchless wisdom too profound it seems
For common scribes to capture or rephrase.
If any words of mine find favor's grace,
Grant me the honor to have shown your light.
Be hailed as muses ten, whose brilliance bright
Outshines the ancient nine, invoked in haste.
Let those who call upon your sacred name
Produce enduring verse to grace the ages.
If these my humble lines ignite a flame
In hearts of men, let them praise you, not me.
For I but labor, while your glory sings.

"
38,2,"How can I find a muse when you inspire
My soul with fervor, breathing life through verse?
Your brilliance too profound for mortal scribe,
Exceeds all thought, transcends the common universe.
If any words I pen deserve a read,
It's you who grants them worth, illuminates.
Oh, be the tenth muse, your value surpasses
The ancient nine, whom poets vainly celebrate.
Let those who summon you bring forth great art,
Eternal whispers to outlast our time.
If fleeting days find merit in my part,
I'll bear the burden, but the honor thine.
As I but echo, you compose the song.

"
38,3,"How can I seek a muse when you inspire
Each phrase, each thought, with passion pure and bright?
Your wisdom too profound for mortal quill,
Eclipses all, beyond the reach of common sight.
If any words I pen merit acclaim,
It's you who lends them grace, ignites the flame.
Oh, be the tenth muse, your value far above
The ancient nine, whom poets vainly name.
Let those who summon you create anew,
Eternal legacies to grace our age.
If transient days find favor in my hue,
I'll bear the burden, but the triumph thine.
For I but channel, you create the light."
39,1,"Of worth and manners, how can I extol
This entity that forms the better part of me?
In self-praise, what merit do I hold
When lauding you is but lauding thee and me?
To dwell apart, our love unnamed,
A sacrifice to grant what's due;
In absence, pain subsides, tamed
By leisure's touch, sweet solitude.
Time spent in thought, of love deceived,
In longing's throes, sweet moments grieve;
In absence, we learn to be
Two souls entwined in unity.
Through separation, find oneness twin,
Praising the one who dwells within.

"
39,2,"How can I, in my manners, sing your worth,
When you're the essence of my vital core?
In praising self, what value or dearth
Can I bestow, when praising you even more?
For this, we live asunder, love apart,
To grant what's owed, your due alone.
Absence, bittersweet, a heavy heart
Conceals the torment, softening its tone.
In leisure's grasp, time's deception sings,
Of love's sweet dream, a cherished thing.
In absence, we learn to see,
Two souls entangled, wild and free.
Through separation, find unity,
Praising the one who shapes our destiny.

"
39,3,"Of manners and worth, how can I sing your grace,
When you're the melody that echoes in my soul?
In self-praise, what can I embrace,
When extolling you is the ultimate goal?
To live apart, our love unknown,
A tribute paid, your due award.
Absence, harsh and cruel, a heavy stone,
Transforms to solace, time's gentle reward.
In leisure's touch, love's thoughts take flight,
A sweet escape, a starlit night.
In absence, we learn to be,
Two souls entwined in harmony.
Through separation, find unity,
Praising the one who sets our spirits free."
40,1,"Grant me all your affections, my dear, take mine in full.
What do you gain, pray, that you did not possess before?
No newfound love, my dear, for all was yours, to your pull,
Long before this moment, when you claimed even more.

If in receiving my love, you claim love as your prize,
I cannot find fault in using what was once mine.
But woe betide you, should you deceive with guise,
Of affection, when in your heart, you draw a line.

I forgive your theft, sweet bandit of the heart,
Though you've stolen all I had, and left me poor.
Love knows it's a heavier burden to bear,
The pain of a love dishonored, than hate's open sore.

Seducing charm, in which all vice is dressed,
Wound me with your scorn, yet we cannot be enemies.

"
40,2,"Accept, my love, all that I offer, seize my heart's all.
What do you gain, that you did not possess before?
No fresh devotion, my love, for all was thine, in thrall,
Ere this hour struck, when you asked for even more.

If in taking my love, you find love's sweet reward,
I cannot chide you for embracing what was once lent.
But beware, lest in taking, your heart grows hard,
By willful choice of what you once repented.

I pardon your plunder, sweet thief of my trust,
Though you've stolen my wealth, and left me with naught.
Love knows it's a grievous burden to bear,
The cost of a love squandered, more than hate's sharp thought.

Enchanting allure, in which all vice is concealed,
Wound me with your scorn, yet we cannot be adversaries.

"
40,3,"Receive, my love, all that I own, take my heart's entirety.
What do you gain, that you did not possess before?
No novel affection, my love, for all was thine, in propriety,
Ere this union, when you sought for even more.

If in possessing my love, you find love's delight,
I cannot reproach you for cherishing what was once lent.
But take heed, lest in holding, your heart turns cold,
By willful grasp of what you once relinquished.

I absolve your acquisition, sweet thief of my heart's design,
Though you've stolen my fortune, and left me bereft.
Love knows it's a heavy toll to bear,
The loss of a love abandoned, more than spite's brief theft.

Captivating charm, in which all vice is enshrined,
Wound me with your scorn, yet we cannot be estranged."
41,1,"The alluring faults of freedom's play,
When I'm away, they dance around your heart,
Your charm and grace, in perfect harmony,
Temptation's steps, with you, never depart.
Kindness defines you, thus, to be embraced,
Beauty adorns you, thus, to be adored,
And when a soul succumbs, no soul's trace
Can turn away until love is scored.
Oh, could you but resist, and understand,
The power in your eyes, the allure of youth,
That drags us to the edge, expands the band
Of truth we share, and severs verity's tooth:
  Hers, by your beauty drawing her anew,
  Thine, by your beauty, false, to me untrue.

"
41,2,"The captivating errors liberty makes,
When I'm astray, they haunt your heart's embrace,
Your elegance and age, in rhythmic beats,
Temptation's song, with you, never abates.
Gentle you are, and thus, to be desired,
Beautiful you are, and thus, to be sought,
And when a heart yearns, no heart's fire retires,
Until it has, what it yearns, it has bought.
Ah, might you but pause, and comprehend,
The spell of your smile, the charm of your youth,
That lures us to the brink, extends the trend
Of truth we know, and shatters verity's tooth:
  Hers, by your beauty, tempting her to stray,
  Thine, by your beauty, false, in disarray.

"
41,3,"The alluring sins of liberty sown,
When I'm aloof, they gather 'round your heart,
Your allure and wisdom, fittingly shown,
Temptation's grasp, with you, never dares depart.
Compassionate you are, and thus, to be treasured,
Beautiful you are, and thus, to be chased,
And when a spirit craves, no spirit measures,
Until it has, what it craves, it has embraced.
Oh, could you but cease, and recognize,
The pull of your grace, the attraction of youth,
That beckons us to the edge, amplifies
The truth we hold, and splinters verity's tooth:
  Hers, by your beauty, luring her untamed,
  Thine, by your beauty, false, unashamed."
42,1,"The fact you're hers does not encapsulate my sorrow,
Yet, I held her dear; such love was never shallow.
That she holds you, my heart's deepest lament,
A love-led parting, pain that's eloquently potent.

Offending lovers, I shall pardon you:
Your love for her stems from my love for true,
And she, in turn, for my sake suffers your reign,
Accepting my friend for my heart's own gain.

Were I to lose you, 'tis my love who'd gain,
And losing her, my friend would bear that pain;
Both unite, and I am left to endure,
This love-laden cross I must longingly cure.

In unity, my friend and I become as one,
Oh, sweet deception! She loves me, and none.

"
42,2,"It's not solely that she's yours which brings me strife,
But I did cherish her, through days and through life.
That she holds you close is the essence of my sighs,
A love-laden sorrow, in my heart it lies.

Dearest offenders, I shall grant you my grace:
You love her for my love's tender embrace,
And she, in turn, endures this wretched state,
For my sake, she accepts this love-filled trait.

Were she to depart, my loss would be her gain,
And losing you, my friend would bear the pain;
Both together, and I'm left in despair,
To suffer this love-heavy cross I must bear.

In harmony, my friend and I share a bond,
Oh, sweet illusion! She loves only me beyond.

"
42,3,"The knowledge of her choice does not wholly grieve,
Yet, I did love her deeply, emotions I can't weave.
That she chose you, my heart's most poignant ache,
A love-led wound, I cannot awake.

Offending cherishers, I shall absolve you hence:
You love her, for I loved first, such sweet coincidence,
And she, in turn, accepts this love-worn role,
For my sake, she adds to my heavy toll.

Were she to vanish, my loss would be her win,
And losing you, my friend would bear that sin;
Both embraced, and I am left alone,
To shoulder this love-ridden cross I've known.

In union, my friend and I share a soul,
Oh, sweet deception! She loves me, her only goal."
43,1,"When I mostly blink, my eyes perceive the best,
Throughout the day, they glimpse what often goes unnoticed;
But in my slumber, dreams of you are dressed,
And dimly radiant, they glow in the darkness covered.
Then you, whose shadow brightens every shade,
What joy it would bring to see your clearer light
In the bright day, when my unseeing gaze is laid
Upon the brilliance of your presence, pure and bright!
How blest would be my sight, beholding thee,
In daylit hours, when your true form shines,
While in the depth of night, your shadow falls on me,
A faint imprint on my sleep-filled mind.
  All days are dark till your true light appears,
  And nights are bright when you dispel my fears.

"
43,2,"My eyes see clear when I briefly close,
The day's distractions fade and lose their hold;
In dreams, my vision of you softly glows,
A beacon in the night, a tale to be told.
Your shadow casts a light on all it touches,
A gentle whisper in the day's bright blaze,
In sleep, your presence warms me, unapproached,
A fleeting glimpse of your eternal rays.
How I long to see you in the waking world,
Your true form shining in the light of day,
While in the night, your shadow is unfurled,
A tender touch that guides me on my way.
  All days are veiled in mist till you are near,
  And nights are bright when you dispel my fear.

"
43,3,"When I shut my lids, my vision is at its peak,
The world's distractions fade, and you come into sight,
In dreams, your presence whispers soft and meek,
A shimmering glow in the darkest night.
Your shadow dances, casting light on the ground,
A subtle presence in the day's bright glare,
In sleep, your essence gently surrounds,
A fleeting touch, a breath of tender air.
How I yearn to see you in the light of day,
Your true form radiant, in the sun's warm blaze,
While in the night, your shadow softly sways,
A gentle guide through the darkest maze.
  All days are shadows till you shine so bright,
  And nights are stars when you're in sight."
44,1,"Should my flesh's mass be but a thinking mind,
Vexing distance could never hinder me,
For mental bounds, once set, no chains can bind,
And swiftly to your side I'd swiftly flee.
No matter if my foot were on the farthest shore,
Or sunk within the ocean's deepest trench,
My nimble thoughts would soar to explore,
The space where it desires to reach.
Alas, I am not thought, but heavy matter,
Bound by time and space, I remain.
My heart, like water, grows fatter,
With longing for you, in vain.
Only left with tears, the wretched woe,
That binds me close, and slows my flow.

"
44,2,"Were my body but a vessel of pure thought,
Spiteful distance could not stay my course,
For thoughts, unbounded, would not be caught,
And swiftly find you at their source.
No matter if my foot were planted on foreign land,
Or sunk within the depths of sea's embrace,
My mind would understand, and take a stand,
At the place where it yearns to race.
But, alack, I am not thought, but flesh and bone,
Bound by time and space, I am undone.
My soul, like a river, all alone,
Cries out for you, under the sun.
Left with tears, the bitterest of woe,
That bind me here, in slow ebb and flow.

"
44,3,"If my corporeal self were but a thought,
Boundless distance could not stay my quest,
For thoughts, unleashed, would never be caught,
And swiftly find you, in your nest.
No matter if my foot were on the edge of earth,
Or sunk within the ocean's darkest hold,
My mind would know, and give me mirth,
At the place where it longs to behold.
But, ah, I am not thought, but flesh and blood,
Bound by time and space, I am in thrall.
My heart, like a captive, scarred and mudded,
Cries out for you, behind the wall.
Left with tears, the saddest of all woe,
That bind me here, in sorrow's flow."
45,1,"Two swift messengers, air and consuming flame,
In your presence, constant companions to me;
One, my intellect, the other, my soul's claim,
In subtle dance they weave, a harmony.
When fleeting thoughts and ardent longing part,
My spirit wanes, bereft, with sorrow filled,
A life of four reduced to but two parts,
Deprived of wholeness, strength and will diminished.
Yet, as your emissaries return with tales,
Of health and beauty, life rekindles, burns anew,
My joy restored, I celebrate your grace,
Only to plunge once more into despair.
For in their absence, solace fades away,
I bid them swiftly back, and darkness falls.

"
45,2,"Swift air and purifying fire, your touch,
In every corner of my world reside,
My thoughts and dreams, they roam as if too much,
Entwined in patterns by your hand implied.
Two fleeting guests, they dance upon my heart,
Their comings and goings, rhythm of my soul,
In your embrace, their flight begins, takes part,
My essence mingles with your healing role.
Alas, when they depart, my spirit sags,
Two of four reduced, a heavy toll to bear,
A life once vibrant, now with grief encumbered,
Despair and longing, shadows cast afar.
Yet, as they fly, returning swift and true,
My heart is mended, whole and bright and new.

"
45,3,"Two fleeting guests, the air and fiery core,
In every breath and longing, ever near,
My thoughts and heart's desire, forevermore,
In subtle dance, they draw me to you, my dear.
When swift-winged thoughts and ardor take their leave,
My soul, once full, is rent, with sorrow torn,
A life reduced, but two of four believe,
In your embrace, my heart, by love reborn.
But as your emissaries return once more,
Life's harmony resounds, a joyful song,
My heart, made whole, resumes its beat before,
Rejoicing in your love, so pure and strong.
And still, the cycle ebbs and flows, as they,
Depart and come, in endless play."
46,1,"A battle fierce within, my heart and sight,
Vie for mastery of your visage's charm.
My heart, it shields from view, your outer light,
While eyes usurp your inner spirit's calm.
My heart insists, within its chamber deep,
Your essence dwells, unseen by gazing eyes.
Yet my sight counters, in you it does keep
The beauty, which in its mirror lies.
A jury of thoughts, to this dispute summoned,
In heart's court, to this question lay their claim.
The verdict rendered, thus the judgment's dawned:
My eyes, your form; my heart, your inward flame.
  So thus: to eyes, your outer self is given,
  To heart, your love, in secret chambers, lives.

"
46,2,"My heart and eye, in discord, over thee,
Contend for right to claim thy visage fair.
My heart, thine inner self would captive be,
While my eye seeks to ensnare thy outer glare.
My heart doth plea, within its core, you're locked,
A fortress, veiled from my eye's probing sight.
Yet my eye, in rebuttal, mocks,
And asserts your beauty lies in light.
A trial held, in heart's high court convened,
With thoughts as jury, sworn to truth and right.
Their verdict spake, the case was thus amended:
My eye, your surface; heart, your hidden might.
  Thus: to my eye, your outward grace is granted,
  To heart, your secret love, forever's chanted.

"
46,3,"My heart and eye, in rift, dispute your grace,
Each striving to possess the full delight.
My heart, your secret self would embrace,
While my eye craves to bask in your pure light.
My heart implores, in its hidden place,
Your spirit dwells, unseen by gazing day.
Yet my eye contradicts, in its space,
Your beauty lies, it would have its way.
A judgment day, in heart's domain held,
With thoughts as arbiters, to truth's call sworn.
Their sentence passed, the battle's knell was tolled:
My eye, your outward guise; my heart, your scorn.
  So thus: to my eye, your surface is allotted,
  To heart, your secret love, forever's dotted."
47,1,"A distance lies 'twixt heart and gaze,
Yet mutual favors they exchange.
When longing seizes eye or heart's ache,
In love's image, solace they engage.
My heart, it feasts upon your portrait's feast,
And bids my eye partake in painted joy.
At other times, your thought is my heart's guest,
In love's embrace, it shares a rapturous alloy.
Thus, through your picture or my love's embrace,
You dwell with me, though far in distant lands.
For thought's domain transcends time and space,
And in my mind, you ever near stands.
  Or, if my thoughts slumber, in my sight,
  Your image stirs my heart to pure delight.

"
47,2,"A chasm spreads between my heart and sight,
Yet each bestows on other gentle grace.
When longing grips my heart or starved for light,
My love's sweet portrait fills the vacant space.
My heart, it dines upon the feast it sees,
And summons eye to share in love's delight.
At times, the eye becomes the heart's company,
In love's sweet thoughts, it revels through the night.
So, by your picture or my love's embrace,
You linger near, though distance keeps us far.
For thought's dominion knows no time nor place,
And in my mind, you're ever close at heart.
  Or, if my thoughts should rest in slumber's hold,
  Your image wakes my heart to love's sweet story untold.

"
47,3,"A gulf exists between my heart and gaze,
Yet both, in kind, bestow on other boons.
When longing seizes heart or sight in haze,
My love's sweet portrait shines like morning suns.
My heart, it banquets on the vision's feast,
And beckons eye to share in love's embrace.
At times, the eye becomes the heart's confidant,
In love's sweet thoughts, it revels face to face.
Thus, through your picture or my love's fond hold,
You dwell with me, though worlds apart we stand.
For thought's vast realm transcends the bounds of old,
And in my mind, you're ever by my hand.
  Or, if my thoughts should wander into sleep,
  Your image wakes my heart to love's eternal deep."
48,1,"With what caution I tread, each step I weigh,
Ensuring all trifles in trust I confine,
That they may remain unused, locked away,
Preserved from thieves in falsehood's dark design.

Yet, to you, my treasures are but trifles small,
My solace, my dearest, now my deepest sorrow,
You, the most precious, uncared for by all,
Are left exposed, vulnerable to the hollow.

I've kept you not in chests or strongboxes bound,
But close within my heart, where you truly dwell,
From which you may depart and then return,
In joy or pain, your presence I shall tell.

Still, I fear, even in my heart's embrace,
You'll be stolen, for true love breeds such a case.

"
48,2,"In wariness, I moved, securing all,
My trifles guarded by trust's firmest bars,
That they might lie in wait, unused to fall,
From reach of falsehood, safe in vaults of hearts.

But you, the jewel of my soul's delight,
My dearest, truest, now my heaviest care,
Have been left open, exposed to base sight,
A prize for every thief in the world to snare.

No chest nor lockbox held you in its hold,
Save in the tender fortress of my breast,
From whence you come and go, as you have told,
Yet, there I fear, you'll be stolen, put to test.

For truth itself doth pilfer gems so rare,
In love's own game, where hearts play hard to share.

"
48,3,"With utmost care, I chose my path that day,
Ensuring trifles found their trusty bars,
That they might lie in wait, unused, at bay,
From falsehood's grasp, concealed in truth's own vaults.

Yet, you, my truest treasure, now my grief,
My dearest, most precious, left unguarded,
Have been made prey to the unworthy thief,
A gemstone scorned by the world, unvaried.

I kept you not in chests or strongboxes bound,
But locked away within my heart's own hold,
From whence you'd leave and then return, unbound,
In joy or sorrow, your presence, my tale told.

Still, I fear, even in my heart's embrace,
You'll be stolen, for true love plays such a chase."
49,1,"In anticipation, should that moment arise,
When you look upon my flaws with disfavor,
When your affection has reached its ultimate prize,
Compelled by respect to settle the score;
When you'll walk past me, barely offering a smile,
As love transforms into a solemn duty;
I take shelter in self-awareness all the while,
Arming myself with reason and propriety.
I stand firm, within the fortress of my worth,
Defending the legitimacy of your choice,
For you possess the might to leave me bereft,
And I cannot argue for a love-based voice.
  To part from me, you've the power of decree,
  I cannot contest, for I see the decree's legitimacy.

"
49,2,"Should the hour arrive when you regard me amiss,
When your affection has reached its zenith,
When respect commands that you count the cost,
And love turns to gravity, devoid of its lith;
I retreat to the fortress of my self-esteem,
Raising my hand in defense of your wisdom,
Aware of the strength in your every theme,
Accepting the verdict of your judgment.
You have the right to abandon my side,
Based on the strength of your convictions,
I can offer no argument, only abide,
By the rules of your heart's dictations.
  To leave me, you have the power of command,
  I can but understand, and release my claim on your hand.

"
49,3,"Prepared for the instant when you from me withdraw,
When your love has reached its fullest measure,
When respect demands a reckoning of all I saw,
And love turns cold, a creature of austere pleasure;
I entrench myself in the knowledge of my worth,
Arming myself with reasons for your choice,
Defending the legitimacy of your every claim,
Accepting the verdict of your voice.
You have the might to leave me alone,
Based on the strength of your own,
I can offer no counter, only atone,
By the rules of your heart, a loan.
  To part from me, you have the power to choose,
  I can but accede, for I see the truth in your views."
50,1,"What weight does my journey bear, I pray,
As I near the end of this wearying road,
Finding rest in the thought of one who'll stay,
A friend, from whom these miles have e'er flowed?
The steed beneath me, burdened by my sorrow,
Moves slowly, bearing the weight of my heart,
As if it knows, by some hidden morrow,
That I, its rider, seek a distant start.
The sharpest spur cannot force it to speed,
For anger's thrust brings forth but a groan,
A sound that echoes in my heart's deep,
A reminder of the joy I've left alone.
  For in this sound, I find my heart's plight:
  My joy recedes, my grief moves on in light.

"
50,2,"How heavy is this road I traverse, I muse,
When all I long for is my journey's close,
A haven taught by one who gives me peace,
A friend, from whom these miles of strife arose.
The creature that carries me, worn by my care,
Trudges on, bearing the weight of my soul,
As if it knows, by some hidden affair,
That I, its master, seek a distant goal.
The fiercest prod cannot make it run fast,
For rage's sting only brings forth a sigh,
A sound that pierces through my heart's vast,
A whisper of the joy I left up high.
  For in this sigh, I find my heart's truth:
  My joy retreats, my grief chases after.

"
50,3,"How heavy lies my path, I ponder and sigh,
As I draw nigh to the end of this hard course,
Finding solace in the thought of one so kind,
A friend, from whom these miles have e'er been forced.
The beast beneath me, weary from my woe,
Lumbers along, bearing the weight of my strife,
As if it knows, by some hidden woe,
That I, its rider, seek a distant life.
The sharpest rowel cannot urge it ahead,
For fury's touch brings forth but a groan,
A sound that haunts me, heavy as lead,
A reminder of the joy I left alone.
  For in this groan, I find my heart's tale:
  My joy recedes, my grief pursues the trail."
51,1,"Thus may my affection pardon the delay
Of my slow messenger, as I depart:
Why rush from your side, when I've found my way?
No haste is needed, staying close to your heart.
What reason can my humble steed provide
When urgency seems sluggish in its pace?
I'd urge him on, yet still he'd not decide,
For in his stead, the wind would win the race.
No horse could match my longing's fervent pace;
Thus, perfected love shall swiftly make its claim,
With fire and spirit, it will win the chase.
Love for love's sake shall my stead's delay redeem:
  ""Though parting from you, he lingered on the path,
  My love runs swiftly towards you, setting him free.""

"
51,2,"Thus, love allows my steed's delay to pass
When I must leave your side, so dear;
From where you are, why should I hurry past?
Till I return, no haste could ever steer.
What reason will my patient mount provide
When urgency seems slow in its advance?
Then should I press, though mounted on the tide;
In swift currents, no motion feels a chance.
Then can no horse with my desire keep pace;
Thus, perfected affection grants me grace,
And love's own wings shall carry me apace.
Love for love's sake shall excuse my steed's grace:
  ""Since from you going, he moved with gentle care,
  My love shall hasten, granting him reprieve.""

"
51,3,"Thus, love permits my steed's unhurried gait
When I depart from where you dwell;
Why hasten from your side, when I find my fate?
No need for haste, as your love does compel.
What reason will my gentle mount provide
When urgency seems slow in its course?
Then should I press, though borne on the moon's tide;
In lunar glow, no motion feels remorse.
Then can no horse with my desire keep pace;
Thus, perfected love shall grant me space,
And love's own wings shall lift me from my place.
Love for love's sake shall excuse my mount's grace:
  ""Since from you parting, he moved with gentle ease,
  My love shall hasten, granting him release."""
52,1,"Much as the wealthy cherish their hidden wealth,
Secure in vaults, untouched, of inestimable worth,
Withholding frequent gaze to preserve pristine stealth,
Savoring rare glimpses of unmatched pearls on earth.

Feasts are thus prepared with great consideration,
Infrequent and treasured in the passage of time,
Precious as gems in calculated distribution,
Or rare pearls adorning the royal diadem's rhyme.

You, my treasure, lie within my outstretched arms,
Hidden as garments in the wardrobe awaiting use,
Awaiting moments of revelation, causing no alarms,
Newly unfurled, your beauty to produce.

Blessed are you, your presence brings delight,
Awaited in absence, cherished in sight.

"
52,2,"Like the rich, guarding their unseen riches,
Preserved in vaults, admired but not worn,
To keep their value and allure unblemished,
Their worth in secrecy forever sworn.

Hence, feasts become events of great significance,
Rare and cherished, like stars in the night,
Or gemstones, carefully placed in brilliance,
Adorning the necklaces of kings in light.

You, my precious one, are kept close to heart,
Hidden as treasures in the stronghold of love,
Revealed in moments, setting apart,
Newly discovered, as from heavens above.

Blessed are you, your worth is ever known,
In presence, a solace, in absence, a throne.

"
52,3,"Rich as those possessing hidden wealth untold,
In strongboxes, guarded, gleaming untouched,
Withholding their beauty, to keep it whole,
Reveling in rare glimpses, as hearts are crushed.

So feasts become occasions of great moment,
Scarce and treasured, like jewels in a crown,
Or pearls, strung carefully, prominent,
Adorning the necks of queens in renown.

You, my precious hoard, are kept near and dear,
Hidden as secrets in the heart's deepest core,
Revealed in whispers, setting ear to ear,
Newly discovered, as never before.

Blessed are you, your worth is ever praised,
In presence, your brilliance never fades."
53,1,"Of what are you composed, that so many forms
Find refuge in your essence, taking shade?
Each soul, a single shade, yet you pervade
A myriad of shadows, generously laid.

Adonis, in his prime, pales next to thee,
A flawed reflection of your timeless grace.
Upon fair Helen's visage, art may be
Applied, but you outshine in Grecian lace.

Speak of the earth's rebirth, the verdant bloom,
It but reflects your splendor, nothing more.
And in your boundless gifts, hope finds a room,
As every shape we cherish, bears your core.

In every lovely grace, you have a hand,
Yet none can claim to hold, a heart so grand.

"
53,2,"What is your essence, from which shadows spring,
A multitude of forms upon you cast?
Each person bears a single shade, a thing
That you, in all your singularity, surpassed.

In every counterfeit of Adonis found,
Your virtue shines through, the truest form.
Upon fair Helen's cheek, in beauty bound,
Your visage breaks, no longer dormant.

Speak of the year's richness, and the spring,
Their beauty but a shadow, gracefully.
Your bounty, too, in every lovely thing,
Revealed, as if to set the captive free.

In every blessed shape, your presence gleams,
Yet none can claim to hold, a heart it seems.

"
53,3,"What constitutes your being, to which shadows cling,
In myriad forms upon your spirit laid?
Each soul, a solitary shade, does bring
A tribute to your boundless, unmatched cascade.

In every imitation of Adonis' grace,
Your archetype prevails, the purest form.
Upon fair Helen, art may find a place,
Yet, you emerge, in Grecian beauty warm.

Speak of the earth's renewal, verdant hue,
It but reflects your splendor, infinite.
And in your gifts, hope's seedling finds its cue,
As every lovely form, your essence animate.

In every gracious shape, your essence thrives,
Yet none can claim to hold, a heart that strives."
54,1,"Oh, how beauty's allure is more when graced
With truth's sweet charm, enhancing beauty's bloom.
The rose's grace, in light of this, is chased
To heights sublime, in its sweet scent it looms.
The blemished flowers may share the rose's hue,
Yet lack the scent that gives the rose its worth.
To thorny branches they are closely true,
Their fleeting beauty fails to gain earth's girth.
Yet perfect roses, in their sweet demise,
Bestow their fragrance on the open air.
In verse, your truth distilled in sweet goodbyes,
Lives on, immortal, as your star does flare.
   So too, fair youth, your beauty's transient hour
   Shall find its echo in poetic power.

"
54,2,"Behold, how beauty's visage brightly gleams
When truth does lend its charm, increasing grace.
The rose's form, when bathed in truth, it seems
More lovely still, its sweet perfume to trace.
The canker's bloom may match the rose's shade,
But scent alone sets roses worlds apart.
Upon the thorns, these blossoms are displayed,
Their fleeting beauty wounds the stony heart.
The true rose's fragrant soul, on deathbed laid,
Bestows its sweetness on the breeze it rides.
In verse, your truth distilled, your memory's aid,
Lives on, a testament to love that guides.
   Thus, lovely youth, your beauty's fleeting time
   Shall echo on in verse, transcending time.

"
54,3,"In truth, beauty's visage shines more bright
When truth does grace it, adding to its allure.
The rose's form, when bathed in truth's soft light,
Gains lustre, as its sweet scent doth ensnare.
The canker's bloom may share the rose's glow,
But scent alone sets roses far above.
On thorny stems, these blossoms come and go,
Their fleeting beauty touches few who probe.
The true rose's fragrant heart, as it does fade,
Bestows its sweetness on the winds that roam.
In verse, your truth distilled, your essence made,
Lives on, a beacon calling those who roam.
   So, beauteous youth, your fleeting loveliness
   Shall find its voice in verse, your truth's caress."
55,1,"No of marble, nor gilded royal tombs
Shall endure past this potent verse's span,
But you, within these lines, shall find your bloom
And outshine stone by Time's uncleaned hand.
When war's destruction topples statues tall,
And conflict's rage undoes the mason's craft,
No sword of Mars nor fire of strife shall maul
The living testament of your afterlife.
Unyielding, you shall stride past death and hate,
In every age your glory shall be sung,
Persisting through the centuries' endless wait,
A living song within each heart that's young.
  Until the day when you, in glory, rise,
  You live in this, and dwell in lovers' eyes.

"
